county_name,censuskey,c14_median_income,c14_trav_time_to_work,c14_total_pop,c14_pct_hispanic,c14_pct_non_hispanic,c14_pct_white,c14_pct_black,c14_pct_asian,c14_pct_multirace,c14_pct_occupation_agriculture,c14_pct_occupation_mining,c14_pct_occupation_manufacturing,c14_pct_occupation_other_svcs,c14_pct_occupation_public_admin,c14_pct_occupation_retail,c14_pct_occupation_wholesale,c14_pct_occupation_armed_forces,c14_pct_occupation_employedcivilian,c14_pct_occupation_unemployedcivilian,c14_pct_occupation_farming,c14_pct_nohsdegree,c14_pct_hsdegree,c14_pct_somecollege,c14_pct_collegedegree,c14_pct_privateschool,c14_pct_publicschool,c14_pop_density_sqmile,c14_pct_renter,c14_pct_owner,c14_pct_multitenant,n_adults
ANDERSON,48001,42991,24,1487,15.00,84.99,70.9235897435897,17.5084615384615,0.687948717948718,2.36666666666667,0.765897435897436,7.95897435897436,4.79564102564103,5.10846153846154,13.5402564102564,9.26025641025641,1.42769230769231,0,93.3212820512821,6.67871794871795,0.635641025641026,16.70,37.72,24.89,16.92,5.02,94.97,531,31.3658974358974,68.634358974359,11.35,25215
ANDREWS,48003,55507,21,1535,54.52,45.47,76.3163636363636,2.51818181818182,0.693636363636364,2.48272727272727,0.807272727272727,21.1445454545455,8.39181818181818,2.64454545454545,0.929090909090909,9.67090909090909,1.79,0,96.5709090909091,3.42909090909091,0.730909090909091,26.29,29.96,26.02,14.04,4.72,95.27,2853,22.7790909090909,77.2209090909091,9.05,8189
ANGELINA,48005,38991,21,1695,23.02,76.97,66.6528846153846,18.3175,0.896923076923077,2.05038461538462,2.13403846153846,1.56576923076923,15.0296153846154,5.06019230769231,3.74403846153846,11.3528846153846,2.32346153846154,0,93.1094230769231,6.89057692307692,0.321923076923077,23.30,30.62,24.43,16.12,1.08,98.91,903,34.7075,65.2925,13.70,48129
ARANSAS,48007,46479,21,1356,25.68,74.31,86.0677777777778,1.85333333333333,2.11777777777778,2.34333333333333,0.710555555555556,2.05388888888889,6.90444444444444,8.17111111111111,5.41444444444444,9.895,2.77222222222222,0.0916666666666667,95.115,4.79277777777778,2.14055555555556,17.09,30.97,23.92,20.21,2.45,97.54,1009,24.6455555555556,75.3544444444445,11.51,15124
ARCHER,48009,56096,20,960,7.93,92.06,92.9822222222222,0.548888888888889,0.24,2.04222222222222,6.54555555555556,5.08444444444445,5.74222222222222,5.07444444444444,7.58444444444444,10.1544444444444,2.02666666666667,0.57,95.22,4.21,3.35555555555556,12.98,39.08,24.05,19.67,3.35,96.64,297,19.26,80.74,6.26,5808
ARMSTRONG,48011,49590,26,656,9.01,90.98,90.5833333333333,1.25,0.0466666666666667,1.30666666666667,9.75666666666667,0,5.03333333333333,5.59666666666667,9.60666666666667,14.0866666666667,3.68,0,96.2933333333333,3.70666666666667,0.716666666666667,7.50,26.70,28.81,28.29,0.00,100.00,600,17.5,82.5,1.74,1326
ATASCOSA,48013,46301,32,1916,62.21,37.78,84.412,1.22,0.41,2.3896,3.1888,2.5656,6.2112,4.31,2.9064,12.4492,3.1296,0.0384,94.4864,5.4756,1.3636,24.52,36.60,22.24,12.86,7.22,92.77,419,25.5744,74.4256,5.27,23303
AUSTIN,48015,50056,28,1442,25.71,74.28,76.7885,9.894,0.4135,2.5445,1.818,1.855,15.579,5.0675,4.2295,12.3325,3.033,0.01,95.1155,4.8745,1.311,17.78,34.88,24.25,18.21,7.64,92.36,263,24.1995,75.8005,8.96,18098
BAILEY,48017,37093,15,1187,64.20,35.79,72.4366666666667,1.36833333333333,0.51,2.20333333333333,24.9266666666667,0,9.63666666666667,6.35166666666667,3.97666666666667,7.405,1.29,0,93.2283333333333,6.77166666666667,18.1016666666667,33.58,27.03,17.80,17.16,0.00,100.00,907,32.8333333333333,67.1666666666667,7.58,3437
BANDERA,48019,47813,33,1719,17.64,82.35,91.7166666666667,0.728333333333333,0.344166666666667,2.08333333333333,5.28333333333333,0.64,4.27416666666667,8.00416666666667,5.54166666666667,9.29166666666667,0.7775,0.925,94.095,4.97916666666667,3.48666666666667,12.50,32.30,23.94,24.42,6.24,93.75,116,17.0808333333333,82.92,1.09,14266
